  PID  %CPU COMMAND
 1147   0.0 progressd
 1145   0.0 SiriSuggestionsBookkeepingService
 1142   0.0 adprivacyd
 1140   0.0 financed
 1141   0.0 diagnosticextensionsd
 1139   0.0 siriinferenced
 1137   0.0 weatherd
 1135   0.0 mapssyncd
 1128   0.0 system_installd
 1127   0.0 installd
 1126   0.0 aneuserd
 1120   0.0 appstoreagent
 1125   0.0 webinspectord
 1122   0.0 com.apple.accessibility.mediaaccessibilityd
 1118   0.0 geodMachServiceBridge
 1117   0.0 storedownloadd
 1116   0.0 nsattributedstringagent
 1109   0.0 cfprefsd
 1107   0.0 nsattributedstringagent
  873   0.0 diagnostics_agent
 1101   0.0 NewsScoringService
 1100   0.0 cfprefsd
 1092   0.0 StocksKitService
 1098   0.0 systemstats
 1095   0.0 trustd
 1091   0.0 fairplayd
 1088   0.0 XProtectBridgeService
 1085   0.0 webfilterDNSd
  763   0.0 SubmitDiagInfo
 1083   0.0 milod
 1082   0.0 SoftwareUpdateNotificationManager
 1080   0.0 com.apple.geod
 1077   0.0 webfilterproxyd
 1067   0.0 inputanalyticsd
 1073   0.0 cloudphotod
 1064   0.0 distnoted
 1051   0.0 zsh
 1050   0.0 Windsurf Helper (Plugin)
 1045   0.0 CoreSpeechXPC
 1042   0.0 Windsurf Helper (Plugin)
 1040   0.0 SetStoreUpdateService
 1038   0.0 UsageTrackingAgent
 1035   0.0 distnoted
 1033   0.0 netbiosd
 1031   0.0 spotlightknowledged
 1019   0.0 CloudTelemetryService
 1030   0.0 nfcd
 1027   0.0 photoanalysisd
 1026   0.0 mediaanalysisd
  866   0.0 askpermissiond
  888   0.0 parentalcontrolsd
 1013   0.0 mdbulkimport
 1012   0.0 SettingsDaemon
  947   0.0 CategoriesService
  946   0.0 audiomxd
  942   0.0 mdbulkimport
  938   0.0 deleted_helper
  929   0.0 CVMServer
  921   0.0 accessoryd
  914   0.0 ollama
  908   0.0 BTLEServer
  906   0.0 Ollama Helper
  903   0.0 Ollama Helper (GPU)
  782   0.0 ContextStoreAgent
  890   0.0 aned
  887   0.0 localspeechrecognition
  885   0.0 ctkahp
  883   0.0 TextInputSwitcher
  865   0.0 FrontendAgent
  880   0.0 SafariLaunchAgent
  855   0.0 corespeechd
  863   0.0 icdd
  877   0.0 Ollama
  878   0.0 Google Chrome Helper (Renderer)
  869   0.0 AirPlayUIAgent
  874   0.0 TextInputMenuAgent
  862   0.0 Siri
  876   0.0 ctkahp
  854   0.0 BTLEServerAgent
  853   0.0 IOUserBluetoothSerialDriver
  850   0.0 newsd
  846   0.0 distnoted
  845   0.0 UARPUpdaterServiceUSBPD
  840   0.0 UARPUpdaterServiceLegacyAudio
  847   0.0 AssetCache
  836   0.0 ScreenTimeWidgetExtension
  835   0.0 keyboardservicesd
  832   0.0 naturallanguaged
  831   0.0 AppleSpell
  829   0.0 siriknowledged
  824   0.0 CloudTelemetryService
  815   0.0 AssetCacheLocatorService
  810   0.0 photolibraryd
  807   0.0 Windsurf Helper
  806   0.0 CursorUIViewService
  803   0.0 SidecarRelay
  799   0.0 StocksWidget
  801   0.0 swtransparencyd
  800   0.0 wifianalyticsd
  784   0.0 NewsToday2
  785   0.0 PlugInLibraryService
  771   0.0 PhotosReliveWidget
  783   0.0 ScopedBookmarkAgent
  781   0.0 Windsurf Helper
  780   0.0 universalAccessAuthWarn
  773   0.0 ChatGPTHelper
  772   0.0 seserviced
  770   0.0 CloudKeychainProxy
  767   0.0 ProtectedCloudKeySyncing
  768   0.0 Keychain Circle Notification
  765   0.0 UIKitSystem
  762   0.0 osanalyticshelper
  761   0.0 coresymbolicationd
  760   0.0 ContextService
  759   0.0 Windsurf Helper (GPU)
  756   0.0 WorldClockWidget
  757   0.0 swcd
  758   0.0 Google Chrome Helper
  755   0.0 contactsdonationagent
  751   0.0 WeatherWidget
  752   0.0 spindump
  750   0.0 bluetoothuserd
  748   0.0 distnoted
  749   0.0 CMFSyncAgent
  723   0.0 RemindersWidgetExtension
  747   0.0 maild
  746   0.0 Google Chrome Helper
  745   0.0 Google Chrome Helper (GPU)
  741   0.0 adid
  740   0.0 AppSSODaemon
  737   0.0 BiomeAgent
  736   0.0 avconferenced
  735   0.0 AppSSOAgent
  733   0.0 mediaremoteagent
  730   0.0 IMDPersistenceAgent
  732   0.0 chrome_crashpad_handler
  729   0.0 amsengagementd
  727   0.0 amsaccountsd
  722   0.0 com.apple.CloudDocs.iCloudDriveFileProvider
  697   0.0 CalendarWidgetExtension
  719   0.0 imagent
  718   0.0 fmfd
  717   0.0 akd
  716   0.0 generativeexperiencesd
  714   0.0 assistant_cdmd
  712   0.0 familycircled
  713   0.0 StatusKitAgent
  711   0.0 nearbyd
  709   0.0 itunescloudd
  708   0.0 networkserviceproxy
  706   0.0 findmylocateagent
  707   0.0 awdd
  705   0.0 lockoutagent
  701   0.0 routined
  703   0.0 ContainerMetadataExtractor
  691   0.0 BatteriesAvocadoWidgetExtension
  690   0.0 -zsh
  689   0.0 extensionkitservice
  688   0.0 login
  684   0.0 appleaccountd
  683   0.0 storekitagent
